City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castillos,-34.1667,-53.8333,13.14,93,5,3.11,UY,1684281045
1,port-aux-francais,-49.35,70.2167,7.88,94,100,15.88,TF,1684281014
2,punta arenas,-53.15,-70.9167,5.06,81,0,4.63,CL,1684280757
3,west island,-12.1568,96.8225,26.99,74,40,4.12,CC,1684281007
4,bethel,41.3712,-73.414,23.93,36,0,2.06,US,1684281035
5,ribeira grande,38.5167,-28.7,19.32,92,96,0.89,PT,1684281026
6,bilibino,68.0546,166.4372,-0.38,83,71,2.67,RU,1684280955
7,edinburgh of the seven seas,-37.0676,-12.3116,16.86,97,100,6.03,SH,1684281004
8,tiksi,71.6872,128.8694,-10.15,92,91,2.77,RU,1684281030
9,college,64.8569,-147.8028,20.97,23,75,4.63,US,1684281049
10,albany,42.6001,-73.9662,22.23,33,100,0.45,US,1684280926
11,gorno-altaysk,51.9561,85.955,9.18,89,96,2.09,RU,1684281110
12,frantiskovy lazne,50.1203,12.3517,7.61,80,89,3.54,CZ,1684281110
13,port mathurin,-19.6833,63.4167,25.73,74,2,4.9,MU,1684281006
14,olonkinbyen,70.9221,-8.7187,-0.69,85,64,8.68,SJ,1684280938
15,adamstown,-25.066,-130.1015,23.48,76,24,3.29,PN,1684280853
16,salem,11.65,78.1667,29.08,58,100,1.57,IN,1684280928
17,barcelos,41.5388,-8.6151,19.36,54,58,2.86,PT,1684281114
18,bredasdorp,-34.5322,20.0403,12.55,79,81,3.4,ZA,1684281006
19,bela,25.9333,81.9833,31.66,22,66,1.8,IN,1684281114
20,hermanus,-34.4187,19.2345,13.22,91,90,1.78,ZA,1684280814
21,island harbour,50.724,-1.2758,11.29,82,8,0.45,GB,1684281114
22,aykhal,66.0,111.5,0.34,91,100,4.0,RU,1684281114
23,qaqortoq,60.7167,-46.0333,2.19,94,100,2.69,GL,1684281045
24,puerto ayora,-0.7393,-90.3518,26.42,89,76,3.13,EC,1684281025
25,semnan,35.5729,53.3971,12.5,43,13,0.4,IR,1684281115
26,portel,-1.9356,-50.8211,24.65,93,100,0.66,BR,1684281115
27,yellowknife,62.456,-114.3525,18.29,29,20,7.72,CA,1684281054
28,keflavik,64.0049,-22.5624,8.95,93,100,9.26,IS,1684281116
29,fortuna,40.5982,-124.1573,19.4,84,0,6.17,US,1684280961
30,ginir,7.1333,40.7,14.37,85,87,1.96,ET,1684281117
31,nagqu,31.5,92.0,0.47,70,94,3.49,CN,1684281117
32,puerto natales,-51.7236,-72.4875,3.97,94,74,1.33,CL,1684280889
33,sinabang,2.4803,96.3801,27.36,79,69,1.17,ID,1684281117
34,cabrobo,-8.5142,-39.31,27.0,60,99,5.27,BR,1684281117
35,isafjordur,66.0755,-23.124,6.14,90,95,5.25,IS,1684280954
36,vitez,44.1544,17.7903,10.81,94,80,1.07,BA,1684281118
37,east london,-33.0153,27.9116,15.59,76,40,3.84,ZA,1684281118
38,enniscorthy,52.5008,-6.5578,10.82,96,63,2.14,IE,1684281118
39,crane,31.3974,-102.3501,25.57,43,100,3.58,US,1684281005
40,jamestown,42.097,-79.2353,19.8,30,75,4.63,US,1684280956
41,lazaro cardenas,17.9583,-102.2,30.14,60,0,4.21,MX,1684280877
42,hithadhoo,-0.6,73.0833,28.36,79,87,7.7,MV,1684281060
43,waitangi,-43.9535,-176.5597,15.46,85,65,2.68,NZ,1684281005
44,margaret river,-33.95,115.0667,12.84,68,0,3.63,AU,1684281024
45,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1684281119
46,badger,64.8,-147.5333,20.93,24,75,4.63,US,1684281035
47,portage la prairie,49.9728,-98.2926,24.96,36,100,4.12,CA,1684280967
48,berdigestyakh,62.0989,126.6992,2.07,98,100,3.24,RU,1684281120
49,luau,-10.7073,22.2247,17.15,55,9,1.61,AO,1684281120
50,markaz-e hukumat-e darweshan,31.1323,64.1934,27.36,12,47,6.58,AF,1684281123
51,norwich,52.6278,1.2983,10.57,82,20,1.54,GB,1684281123
52,san fernando del valle de catamarca,-28.4696,-65.7852,24.87,56,100,3.58,AR,1684281049
53,st. john's,47.5649,-52.7093,10.66,76,75,6.17,CA,1684281036
54,karratha,-20.7377,116.8463,21.7,34,5,2.72,AU,1684281069
55,san antonio de pale,-1.4014,5.6325,27.25,83,96,6.4,GQ,1684281124
56,bhimunipatnam,17.8833,83.4333,29.73,90,85,3.05,IN,1684281125
57,ushuaia,-54.8,-68.3,6.81,61,20,5.66,AR,1684280748
58,hadibu,12.65,54.0333,29.03,77,21,2.61,YE,1684281126
59,reguiba,33.5639,6.7033,22.03,35,0,3.09,DZ,1684281127
60,yelizovo,53.1873,158.3805,10.08,61,0,5.0,RU,1684281127
61,bikenibeu village,1.3673,173.1241,30.98,79,20,3.6,KI,1684281127
62,agat village,13.3886,144.6585,30.76,76,20,6.17,GU,1684281127
63,setubal,38.5244,-8.8882,19.92,70,53,4.26,PT,1684281127
64,georgetown,5.4112,100.3354,28.96,89,40,2.06,MY,1684280923
65,whitehorse,60.7161,-135.0538,23.39,16,20,3.6,CA,1684280718
66,vallam,10.7167,79.0833,28.03,77,91,2.95,IN,1684281128
67,longyearbyen,78.2186,15.6401,-4.09,86,75,0.51,SJ,1684281086
68,blackmans bay,-43.0167,147.3167,9.29,78,99,1.34,AU,1684280949
69,mpongwe,-13.5091,28.155,18.56,57,49,2.99,ZM,1684281128
70,albertina,-22.2008,-46.6158,10.66,78,0,1.29,BR,1684281128
71,ad dabbah,18.05,30.95,30.02,10,0,3.99,SD,1684281128
72,tocopilla,-22.092,-70.1979,19.08,76,21,2.98,CL,1684281129
73,dehui,44.5333,125.7,14.35,29,100,3.38,CN,1684281129
74,port elizabeth,-33.918,25.5701,15.17,91,0,5.14,ZA,1684281049
75,nyurba,63.2842,118.3319,6.81,58,78,2.86,RU,1684281129
76,benjamin constant,-4.3831,-70.0311,26.07,94,75,1.54,BR,1684281129
77,reggane,26.7158,0.1714,27.57,11,2,5.27,DZ,1684281130
78,awjilah,29.1081,21.2869,17.19,61,0,3.68,LY,1684281130
79,manado,1.487,124.8455,25.43,94,40,1.54,ID,1684281133
80,susuman,62.7833,148.1667,7.26,56,90,6.42,RU,1684281066
81,kismayo,-0.3582,42.5454,26.51,84,19,6.16,SO,1684281134
82,naze,28.3667,129.4833,22.51,62,96,5.82,JP,1684281134
83,letlhakeng,-24.0944,25.0298,14.14,87,3,3.59,BW,1684281135
84,horta,38.5333,-28.6333,18.9,92,96,0.89,PT,1684281136
85,iskateley,67.6803,53.1512,4.38,97,61,3.96,RU,1684281136
86,wailua homesteads,22.0669,-159.378,25.44,70,100,5.66,US,1684281055
87,leh,34.1667,77.5833,4.59,46,17,1.48,IN,1684281121
88,talnakh,69.4865,88.3972,-9.48,92,43,1.13,RU,1684281067
89,juan griego,11.0817,-63.9655,25.65,89,96,4.61,VE,1684281004
90,n'zeto,-7.2312,12.8666,24.85,91,75,3.28,AO,1684281137
91,cadale,2.7603,46.3222,26.46,89,71,7.48,SO,1684281137
92,meadow lake,34.8014,-106.5436,29.05,30,14,4.06,US,1684281137
93,avarua,-21.2078,-159.775,22.03,73,100,2.06,CK,1684280877
94,waddan,29.1614,16.139,21.33,24,0,3.96,LY,1684281138
95,montepuez,-13.1256,38.9997,16.45,94,51,1.73,MZ,1684281138
96,changchun,43.88,125.3228,10.98,53,100,0.1,CN,1684281138
97,hamilton,39.1834,-84.5333,17.92,83,20,3.09,US,1684281029
